M,N,m1,m2,m4,m8,scalar,scalar_unrolled
2,2,194,215,256,384,179,189
4,4,238,280,374,594,263,320
8,8,326,382,541,923,467,685
16,16,691,689,1058,1732,1592,1282
32,32,1762,1578,1977,3261,5621,3808
32,2048,115133,92651,93008,92737,356818,240596
64,64,5450,4255,5001,6315,21333,13184
128,128,24842,20292,21200,25636,84923,56667
256,256,97235,77110,78223,86665,336433,219104
256,2048,984992,865341,856589,866682,2925474,1936572
512,512,410954,342681,332941,371567,1359824,853448
1024,1024,1818081,1530960,1516795,1581128,5591504,3819942
2048,32,115131,102853,119472,223112,354359,246251
2048,256,822274,685623,687237,771670,2690216,1761179
2048,2048,8688861,7770579,7642177,7531349,23810131,15901871
