Length,m1,m2,m4,m8,scalar,scalar_v2
1,81,85,93,108,55,67
4,80,85,91,109,73,72
8,80,85,93,108,82,77
15,80,83,93,109,109,83
16,81,85,93,108,110,81
17,81,84,93,109,100,77
31,80,85,93,108,121,93
32,81,85,93,107,122,92
64,104,83,92,107,145,111
128,153,112,92,109,194,152
256,248,169,129,109,291,232
512,441,281,201,161,483,392
1024,825,505,345,265,867,712
4090,3140,1849,1209,889,3165,2635
4096,3140,1849,1209,889,3176,2642
4097,3153,1877,1245,941,3166,2639
32760,24778,14503,9401,6880,24856,20742
32768,24749,14503,9401,6874,24862,20736
32770,24767,14597,9503,7097,24834,20802
262144,197381,115463,76821,62325,199593,185114
524288,401754,235034,151680,135104,400569,366641
